# Normalized	8304 eV	Empty Kapton
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.529344028781202680e-01	1.200292110443115234e+00	2.706747200701630218e-01
1.696603047191850566e-01	1.003527402877807617e+00	1.353092355996786400e-01
1.863862065602498452e-01	8.339936733245849609e-01	9.518580322106402758e-02
2.031121084013146616e-01	7.091997861862182617e-01	7.431559229563824975e-02
2.198380102423794225e-01	6.096723675727844238e-01	5.961404020818512201e-02
2.365639120834442388e-01	5.396786332130432129e-01	4.933770375265471991e-02
2.532898139245089997e-01	4.907602965831756592e-01	4.222299785944146067e-02
2.700157157655738160e-01	4.464866518974304199e-01	4.016412668253819401e-02
2.867416176066386324e-01	4.154602587223052979e-01	3.823077625761140547e-02
3.034675194477033933e-01	3.902262151241302490e-01	3.656322697433171676e-02
3.201934212887681541e-01	3.699548840522766113e-01	3.533096507419239418e-02
3.369193231298329705e-01	3.538777828216552734e-01	3.350618189447675949e-02
3.536452249708977869e-01	3.407713770866394043e-01	3.098791407541802781e-02
3.703711268119626032e-01	3.312323689460754395e-01	2.939406711625704507e-02
3.870970286530273641e-01	3.216317892074584961e-01	2.804923087569981266e-02
4.038229304940921249e-01	3.141704797744750977e-01	2.685199096826178938e-02
4.205488323351569413e-01	3.080558180809020996e-01	2.585454631178069410e-02
4.372747341762217577e-01	3.017326891422271729e-01	2.501233970643494675e-02
4.540006360172865185e-01	2.945645451545715332e-01	2.418073613429293917e-02
4.707265378583513349e-01	2.892448008060455322e-01	2.348506508245867819e-02
4.874524396994160957e-01	2.820448875427246094e-01	2.275307008193896627e-02
5.041783415404809121e-01	2.760311663150787354e-01	2.203217834077280182e-02
5.209042433815456175e-01	2.709594070911407471e-01	2.138547707756114843e-02
5.376301452226104338e-01	2.650057971477508545e-01	2.079351159956530082e-02
5.543560470636752502e-01	2.585575878620147705e-01	2.020338969732934226e-02
5.710819489047400666e-01	2.511889934539794922e-01	2.009703949062845510e-02
5.878078507458048829e-01	2.462021410465240479e-01	2.006590471878188023e-02
6.045337525868696993e-01	2.389196157455444336e-01	1.976581251545515144e-02
6.212596544279345157e-01	2.337207496166229248e-01	1.948980456138414002e-02
6.379855562689992210e-01	2.285842448472976685e-01	1.911818593576300462e-02
6.547114581100639263e-01	2.227936536073684692e-01	1.868520047468408274e-02
6.714373599511287427e-01	2.171459347009658813e-01	1.833132450156669049e-02
6.881632617921935591e-01	2.122839540243148804e-01	1.802186276636523130e-02
7.048891636332583754e-01	2.068059444427490234e-01	1.768492179787504309e-02
7.216150654743231918e-01	2.010337114334106445e-01	1.700439072030576759e-02
7.383409673153880082e-01	1.966957747936248779e-01	1.627609409557512210e-02
7.550668691564528245e-01	1.917010098695755005e-01	1.573672621001848473e-02
7.717927709975176409e-01	1.871253848075866699e-01	1.529801843614930768e-02
7.885186728385824573e-01	1.824463158845901489e-01	1.493485114400965735e-02
8.052445746796470516e-01	1.780815422534942627e-01	1.455893172269311434e-02
8.219704765207118680e-01	1.735615879297256470e-01	1.417488497744040683e-02
8.386963783617766843e-01	1.697236001491546631e-01	1.383296000327041524e-02
8.554222802028415007e-01	1.657101660966873169e-01	1.349810422376761590e-02
8.721481820439063171e-01	1.622943580150604248e-01	1.319777626784091919e-02
8.888740838849711334e-01	1.584457308053970337e-01	1.288625623431079170e-02
9.055999857260359498e-01	1.548892855644226074e-01	1.259739209228214786e-02
9.223258875671007662e-01	1.522293835878372192e-01	1.235005482664037688e-02
9.390517894081655825e-01	1.485058963298797607e-01	1.206807486772664209e-02
9.557776912492303989e-01	1.462267637252807617e-01	1.185357934595979504e-02
9.725035930902949932e-01	1.434645503759384155e-01	1.162162462098407026e-02
